

[info]
SOLAR F.V. EUITI

Fecha;Hora;G_H1((47596));G_M1((47596));G_M2((47596));G_M3((47596));T_U0((47596));T_M3((47596));T_M1((47596));T_M2((47596));W_V0((47596));F_L0((47596));Pac(1(47596));Pac(2(47596));Pac(5(47596));Pac(6(47596));Pac(7(47596));Pac(10(47596));Pac(3(47596));Pac(4(47596));Pac(8(47596));Pac(9(47596));Pac(11(47596));Pac(12(47596))
;;Wh/m�;Wh/m�;Wh/m�;Wh/m�;캜;캜;캜;캜;m/s;%;W;W;W;W;W;W;W;W;W;W;W;W
;;Suma;Suma;Suma;Suma;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Valor medio;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma;Suma
[start]
01.07.2013;08:45:00;11,75;56,00;57,25;58,25;26,20;25,20;26,70;26,00;-;39,40;179,00;212,00;179,00;172,00;180,00;180,00;243,00;194,00;204,00;111,00;238,00;449,00
01.07.2013;09:00:00;12,50;69,00;69,25;70,50;26,20;26,70;28,40;27,40;-;39,90;233,00;266,00;239,00;217,00;225,00;235,00;317,00;246,00;267,00;144,00;295,00;594,00
01.07.2013;09:15:00;11,75;87,50;86,50;88,25;26,80;29,40;30,90;30,10;-;39,00;319,00;340,00;318,00;288,00;302,00;308,00;406,00;329,00;354,00;191,00;378,00;790,00
01.07.2013;09:30:00;11,00;101,25;98,00;100,50;27,00;31,30;32,80;32,10;-;38,30;392,00;394,00;370,00;355,00;350,00;362,00;470,00;406,00;417,00;224,00;435,00;933,00
01.07.2013;09:45:00;13,25;111,50;107,25;109,75;27,30;32,90;34,50;33,80;-;37,00;460,00;434,00;404,00;423,00;384,00;399,00;517,00;452,00;464,00;247,00;476,00;1046,00
01.07.2013;10:00:00;13,00;128,00;121,25;124,50;27,80;35,60;36,80;36,10;-;34,50;525,00;495,00;460,00;512,00;438,00;464,00;589,00;510,00;540,00;286,00;543,00;1211,00
01.07.2013;10:15:00;12,75;137,75;129,00;133,00;28,60;37,60;39,20;38,20;-;33,30;551,00;527,00;488,00;545,00;345,00;501,00;627,00;535,00;581,00;308,00;578,00;1300,00
01.07.2013;10:30:00;14,25;150,25;140,00;144,50;28,40;38,90;39,80;39,10;-;33,40;598,00;571,00;516,00;568,00;468,00;551,00;679,00;581,00;636,00;338,00;627,00;1423,00
01.07.2013;10:45:00;11,25;161,50;150,25;155,50;28,80;40,80;41,60;40,80;-;33,10;645,00;609,00;559,00;638,00;536,00;593,00;725,00;623,00;684,00;365,00;668,00;1523,00
01.07.2013;11:00:00;11,50;173,50;162,50;167,50;28,70;40,80;41,90;40,80;-;33,90;695,00;651,00;609,00;687,00;576,00;638,00;777,00;664,00;736,00;391,00;712,00;1644,00
01.07.2013;11:15:00;11,00;199,25;189,50;195,50;29,10;43,60;44,50;43,70;-;33,40;796,00;727,00;685,00;782,00;650,00;722,00;876,00;752,00;833,00;442,00;796,00;1822,00
01.07.2013;11:30:00;12,75;178,25;168,00;172,75;29,60;44,50;44,80;43,70;-;32,20;723,00;629,00;629,00;709,00;592,00;645,00;778,00;683,00;743,00;394,00;695,00;1647,00
01.07.2013;11:45:00;11,25;220,25;208,50;214,50;29,80;46,90;48,50;47,00;-;30,90;863,00;792,00;752,00;858,00;712,00;803,00;956,00;827,00;924,00;491,00;871,00;1987,00
01.07.2013;12:00:00;12,25;225,75;213,75;220,00;29,90;49,60;50,40;49,80;-;30,60;884,00;800,00;766,00;873,00;731,00;820,00;970,00;839,00;938,00;501,00;879,00;1997,00
01.07.2013;12:15:00;14,25;224,50;212,25;219,00;30,80;50,40;51,30;51,00;-;29,10;872,00;793,00;759,00;861,00;720,00;812,00;955,00;830,00;918,00;494,00;870,00;1944,00
01.07.2013;12:30:00;14,25;196,75;186,25;191,25;31,00;50,50;51,20;50,80;-;28,60;774,00;701,00;659,00;756,00;638,00;718,00;838,00;737,00;805,00;438,00;770,00;1726,00
01.07.2013;12:45:00;12,50;235,00;222,50;229,25;31,60;51,30;52,90;51,40;-;27,90;909,00;811,00;812,00;932,00;775,00;876,00;1024,00;887,00;997,00;535,00;928,00;2095,00
01.07.2013;13:00:00;11,25;228,25;217,00;223,00;32,30;51,90;53,00;52,10;-;26,40;890,00;807,00;745,00;847,00;706,00;810,00;938,00;806,00;911,00;495,00;852,00;1907,00
01.07.2013;13:15:00;13,75;239,75;229,25;235,00;32,50;53,40;56,30;54,90;-;26,20;921,00;823,00;793,00;913,00;760,00;866,00;1002,00;869,00;976,00;527,00;905,00;2035,00
01.07.2013;13:30:00;11,00;240,00;231,25;237,00;33,30;55,30;57,20;55,80;-;25,00;929,00;820,00;796,00;919,00;763,00;865,00;1001,00;874,00;973,00;527,00;901,00;2022,00
01.07.2013;13:45:00;13,00;241,00;233,25;239,50;33,90;55,20;58,10;56,40;-;24,60;932,00;822,00;801,00;923,00;762,00;868,00;1000,00;879,00;971,00;528,00;900,00;2014,00
01.07.2013;14:00:00;11,25;241,50;235,75;241,25;34,20;55,60;59,00;57,30;-;24,40;939,00;820,00;806,00;930,00;769,00;870,00;1004,00;883,00;975,00;528,00;899,00;2027,00
01.07.2013;14:15:00;12,25;240,50;236,50;241,75;34,40;55,60;57,70;56,70;-;24,10;941,00;817,00;805,00;930,00;768,00;869,00;1002,00;882,00;971,00;528,00;897,00;2012,00
01.07.2013;14:30:00;12,75;237,75;236,25;240,75;35,20;56,50;59,20;58,30;-;22,70;935,00;803,00;800,00;924,00;763,00;859,00;985,00;877,00;952,00;517,00;885,00;1989,00
01.07.2013;14:45:00;12,00;234,75;235,00;239,50;35,00;56,40;58,90;58,10;-;22,20;931,00;795,00;795,00;919,00;755,00;836,00;972,00;870,00;937,00;510,00;869,00;1939,00
01.07.2013;15:00:00;11,00;231,50;234,25;237,75;35,40;56,00;57,80;56,70;-;20,40;927,00;790,00;791,00;920,00;757,00;834,00;962,00;870,00;926,00;506,00;864,00;1927,00
01.07.2013;15:15:00;13,50;227,00;230,50;234,75;36,30;57,50;58,60;57,30;-;19,10;914,00;772,00;777,00;910,00;744,00;815,00;941,00;856,00;907,00;496,00;846,00;1888,00
01.07.2013;15:30:00;13,25;218,75;225,75;228,75;36,50;56,30;58,90;58,00;-;19,20;891,00;747,00;755,00;885,00;725,00;786,00;915,00;827,00;876,00;477,00;816,00;1828,00
01.07.2013;15:45:00;12,00;211,00;220,00;222,50;36,50;54,60;58,30;58,50;-;19,30;870,00;724,00;732,00;862,00;704,00;757,00;886,00;810,00;846,00;460,00;790,00;1774,00
01.07.2013;16:00:00;12,25;203,25;215,00;216,75;36,90;54,00;56,10;54,80;-;18,50;858,00;709,00;720,00;848,00;691,00;732,00;859,00;799,00;818,00;448,00;772,00;1727,00
01.07.2013;16:15:00;14,25;199,25;213,75;214,75;37,30;53,50;55,80;54,30;-;17,10;853,00;697,00;710,00;843,00;684,00;720,00;846,00;789,00;804,00;440,00;759,00;1700,00
01.07.2013;16:30:00;13,25;190,00;207,50;208,00;37,50;53,90;57,10;55,40;-;16,60;823,00;662,00;680,00;814,00;658,00;679,00;802,00;762,00;758,00;414,00;719,00;1606,00
01.07.2013;16:45:00;13,25;184,75;206,25;206,00;37,30;51,10;53,20;52,00;-;16,60;827,00;656,00;683,00;813,00;659,00;666,00;791,00;759,00;744,00;407,00;711,00;1588,00
01.07.2013;17:00:00;13,00;176,00;200,25;199,50;37,80;51,50;54,10;52,60;-;15,50;798,00;624,00;656,00;788,00;639,00;630,00;755,00;737,00;707,00;387,00;675,00;1515,00
01.07.2013;17:15:00;13,00;163,00;189,75;188,75;37,90;51,00;52,60;51,50;-;15,10;767,00;584,00;623,00;756,00;606,00;582,00;705,00;699,00;653,00;355,00;633,00;1412,00
01.07.2013;17:30:00;12,25;109,25;127,50;125,75;38,10;49,50;50,30;50,10;-;15,40;511,00;383,00;412,00;502,00;403,00;399,00;473,00;463,00;436,00;238,00;436,00;986,00
01.07.2013;17:45:00;12,25;68,25;80,00;78,00;38,00;41,30;43,40;42,40;-;15,20;329,00;245,00;261,00;300,00;256,00;225,00;293,00;306,00;234,00;135,00;259,00;555,00
01.07.2013;18:00:00;12,50;35,25;39,00;37,75;37,20;38,10;40,00;39,10;-;17,10;143,00;113,00;137,00;160,00;134,00;114,00;138,00;139,00;108,00;64,00;130,00;303,00
01.07.2013;18:15:00;13,75;25,00;25,25;24,75;34,70;32,80;34,30;32,80;-;20,30;88,00;75,00;74,00;86,00;73,00;64,00;87,00;86,00;54,00;34,00;81,00;183,00
01.07.2013;18:30:00;11,50;40,75;46,00;45,25;34,10;31,90;33,90;32,60;-;21,30;178,00;139,00;143,00;172,00;139,00;112,00;165,00;159,00;126,00;71,00;130,00;297,00
01.07.2013;18:45:00;11,50;58,00;74,25;71,75;33,80;34,30;36,90;35,20;-;22,60;306,00;209,00;240,00;299,00;233,00;205,00;254,00;261,00;210,00;119,00;207,00;538,00
01.07.2013;19:00:00;12,25;39,00;44,25;43,00;32,90;31,80;34,30;32,70;-;23,90;179,00;134,00;143,00;166,00;137,00;119,00;161,00;160,00;114,00;65,00;140,00;317,00
01.07.2013;19:15:00;11,50;38,75;54,00;50,75;32,70;31,90;33,80;32,60;-;23,40;215,00;132,00;168,00;214,00;167,00;125,00;163,00;191,00;120,00;70,00;132,00;316,00
01.07.2013;19:30:00;12,00;19,50;24,75;22,50;33,00;30,30;32,20;30,90;-;22,50;82,00;53,00;66,00;82,00;69,00;46,00;66,00;77,00;39,00;29,00;56,00;125,00
01.07.2013;19:45:00;13,00;14,50;14,75;14,25;32,50;29,00;30,50;29,30;-;23,10;48,00;35,00;38,00;46,00;39,00;27,00;41,00;46,00;25,00;20,00;37,00;79,00
01.07.2013;20:00:00;10,50;15,00;15,25;14,50;32,40;28,60;30,40;29,10;-;22,90;45,00;36,00;40,00;44,00;38,00;30,00;43,00;45,00;26,00;19,00;37,00;85,00
01.07.2013;20:15:00;11,75;18,75;18,75;18,75;32,80;29,20;30,80;29,70;-;22,50;66,00;51,00;52,00;64,00;52,00;43,00;58,00;62,00;37,00;25,00;54,00;130,00
01.07.2013;20:30:00;12,50;13,75;14,50;13,75;32,40;28,80;30,20;29,70;-;23,10;45,00;33,00;38,00;44,00;36,00;29,00;40,00;42,00;26,00;19,00;36,00;86,00
01.07.2013;20:45:00;11,25;10,25;10,50;9,25;32,40;28,30;29,70;28,80;-;22,70;30,00;22,00;24,00;29,00;23,00;19,00;27,00;29,00;18,00;10,00;23,00;53,00
01.07.2013;21:00:00;12,50;8,25;7,75;7,25;32,80;28,20;29,70;29,10;-;21,20;22,00;16,00;18,00;22,00;18,00;13,00;22,00;19,00;9,00;3,00;17,00;36,00
01.07.2013;21:15:00;11,75;3,75;3,00;2,50;33,00;28,00;29,30;28,30;-;20,50;5,00;2,00;5,00;6,00;4,00;1,00;1,00;5,00;0,00;0,00;3,00;0,00
01.07.2013;21:30:00;11,75;2,25;1,50;0,75;33,00;27,30;28,90;28,10;-;20,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-;0,00;0,00;0,00
01.07.2013;21:45:00;13,00;1,75;1,25;0,50;32,70;27,10;28,40;27,60;-;21,80;0,00;0,00;0,00;0,00;-;-;0,00;0,00;-;-;0,00;-
01.07.2013;22:00:00;13,75;2,00;1,25;0,50;31,70;26,30;27,60;26,80;-;25,50;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;22:15:00;12,50;1,75;1,00;0,50;31,10;25,50;26,80;25,80;-;27,20;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;22:30:00;12,00;1,75;1,00;0,50;30,90;25,50;26,70;25,70;-;27,90;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;22:45:00;12,00;1,50;1,00;0,50;31,20;25,40;26,50;25,60;-;26,70;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;23:00:00;12,00;1,25;1,00;0,50;31,60;25,70;27,10;26,10;-;25,60;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;23:15:00;12,00;1,50;1,00;0,50;31,50;25,80;27,10;26,00;-;25,90;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;23:30:00;12,50;1,50;1,00;0,50;31,00;25,60;27,00;25,80;-;27,60;-;-;-;-;-;-;-;-;-;-;-;-
01.07.2013;23:45:00;11,00;1,50;1,00;0,50;30,70;25,40;26,70;25,50;-;28,80;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;00:00:00;12,75;1,50;0,75;0,50;29,90;23,90;25,40;24,20;-;31,20;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;00:15:00;13,50;1,50;1,00;0,50;29,40;23,20;24,50;23,40;-;33,10;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;00:30:00;12,00;1,50;1,00;0,50;29,00;23,60;24,90;24,00;-;34,50;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;00:45:00;11,50;1,25;0,75;0,50;28,80;23,90;25,00;24,00;-;35,30;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;01:00:00;12,25;1,50;1,00;0,50;28,80;23,90;25,20;24,10;-;35,90;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;01:15:00;12,00;1,50;1,00;0,50;28,90;23,50;24,60;23,60;-;36,10;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;01:30:00;12,75;1,25;1,00;0,50;28,60;23,60;24,80;23,90;-;37,30;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;01:45:00;11,75;1,50;1,00;0,50;28,80;23,30;24,60;24,00;-;37,00;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;02:00:00;13,25;1,75;1,00;0,50;29,00;23,50;24,80;23,90;-;35,40;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;02:15:00;12,50;1,50;1,00;0,50;29,00;23,40;24,70;23,50;-;35,50;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;02:30:00;10,75;1,50;1,00;0,50;28,80;22,60;23,80;22,80;-;35,80;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;02:45:00;10,25;1,25;1,00;0,50;28,80;22,10;23,40;22,50;-;36,40;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;03:00:00;15,50;1,25;1,00;0,50;28,40;22,20;23,50;22,40;-;37,90;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;03:15:00;13,25;1,50;1,00;0,50;28,30;22,10;23,40;23,10;-;39,80;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;03:30:00;11,50;1,25;1,00;0,50;28,10;21,70;23,20;22,50;-;40,80;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;03:45:00;12,50;1,75;1,00;0,50;27,80;21,50;22,90;22,50;-;42,90;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;04:00:00;10,00;1,25;1,00;0,50;28,10;21,60;23,00;22,20;-;42,20;-;-;-;-;-;-;-;-;-;-;-;-
02.07.2013;08:00:00;5,55;4,46;3,92;3,38;24,20;19,60;20,90;19,90;-;52,80;22,00;21,00;19,00;22,00;18,00;17,00;25,00;22,00;0,00;0,00;23,00;48,00
02.07.2013;08:15:00;15,00;24,25;25,75;25,50;24,60;20,40;21,80;20,70;-;52,40;58,00;79,00;52,00;30,00;65,00;62,00;79,00;91,00;7,00;11,00;86,00;174,00
02.07.2013;08:30:00;11,75;27,25;27,75;27,50;25,50;22,10;23,40;22,50;-;50,40;77,00;92,00;75,00;55,00;78,00;77,00;99,00;103,00;75,00;43,00;103,00;199,00
02.07.2013;08:45:00;12,25;23,25;21,00;20,75;25,10;21,50;22,90;21,70;-;51,30;57,00;71,00;54,00;55,00;54,00;61,00;76,00;72,00;53,00;36,00;77,00;168,00
02.07.2013;09:00:00;12,75;32,50;30,75;30,75;25,00;22,50;24,00;23,00;-;51,80;91,00;111,00;86,00;88,00;83,00;98,00;124,00;112,00;93,00;56,00;125,00;250,00
02.07.2013;09:15:00;11,75;52,25;49,50;50,00;25,30;23,00;24,40;23,40;-;51,30;162,00;197,00;148,00;152,00;149,00;167,00;227,00;193,00;180,00;101,00;205,00;428,00
02.07.2013;09:30:00;12,00;95,75;90,75;93,00;25,50;28,30;29,40;28,50;-;50,10;332,00;378,00;294,00;315,00;313,00;345,00;444,00;363,00;395,00;213,00;417,00;897,00
02.07.2013;09:45:00;11,75;110,25;103,50;106,00;26,10;32,60;32,60;32,20;-;48,10;412,00;429,00;372,00;412,00;371,00;400,00;506,00;420,00;460,00;246,00;474,00;1038,00
02.07.2013;10:00:00;12,00;123,50;115,00;119,00;26,90;34,80;36,20;35,30;-;45,90;491,00;477,00;436,00;484,00;416,00;452,00;565,00;488,00;520,00;277,00;525,00;1167,00
02.07.2013;10:15:00;11,50;136,75;127,00;131,25;27,50;37,00;39,00;37,90;-;44,60;547,00;523,00;482,00;540,00;457,00;501,00;619,00;529,00;574,00;305,00;573,00;1281,00
